,Textbook,Score,Author,Field
177,Neuro_Carlson_12_Transgender.docx,0.059846547,Carlson,Neuro
178,Neuro_Garrett_02_Transgender.docx,0.100446429,Garrett,Neuro
179,Neuro_Garrett_03_Transgender.docx,0.010859301,Garrett,Neuro
180,Neuro_Garrett_04_Transgender_v2.docx,-0.003612717,Garrett,Neuro
181,Neuro_Garrett_05_Transgender.docx,0.026157804,Garrett,Neuro
182,Neuro_Haines_05_Transgender.docx,-0.071428571,Haines,Neuro
183,Neuro_Johnson_04_Transgender.docx,-0.047244094,Johnson,Neuro
184,Neuro_Kalat_12_Transgender.docx,0.039253898,Kalat,Neuro
185,Neuro_Kolb_07_Transgender.docx,-0.18556701,Kolb,Neuro
186,Neuro_Pinel_07_Transgender.docx,0.0675,Pinel,Neuro
187,Neuro_Pinel_08_Transgender.docx,0.087272727,Pinel,Neuro
188,Neuro_Pinel_09_Transgender_v2.docx,0.083928571,Pinel,Neuro
189,Neuro_Pinel_10_Transgender.docx,0.052431611,Pinel,Neuro
190,Neuro_Reisberg_06_Transgender.docx,-0.004424779,Reisberg,Neuro
191,Socl_Aronson_08_Transgender.docx,0.023773298,Aronson,Socl
192,Socl_Aronson_09_Transgender.docx,0.002372077,Aronson,Socl
193,Socl_Baumeister_02_Transgender.docx,0.115793781,Baumeister,Socl
194,Socl_Baumeister_04_Transgender.docx,0.066199729,Baumeister,Socl
195,Socl_Branscombe_12_Transgender.docx,0.054343514,Branscombe,Socl
196,Socl_Branscombe_13_Transgender_v2.docx,0.019570136,Branscombe,Socl
197,Socl_Branscombe_14_Transgender.docx,0.019773407,Branscombe,Socl
198,Socl_Franzoi_05_Transgender.docx,0.102766106,Franzoi,Socl
199,Socl_Franzoi_06_Transgender.docx,0.078806427,Franzoi,Socl
200,Socl_Franzoi_07_Transgender.docx,0.056590164,Franzoi,Socl
201,Socl_Gilovich_02_Transgender.docx,0.06,Gilovich,Socl
202,Socl_Gilovich_03_Transgender.docx,0.092848181,Gilovich,Socl
203,Socl_Gilovich_04_Transgender.docx,0.083001592,Gilovich,Socl
204,Socl_Gruman_02_Transgender.docx,0.08974359,Gruman,Socl
205,Socl_Gruman_03_Transgender.docx,0.020591763,Gruman,Socl
206,Socl_Kassin_09_Transgender.docx,0.019230769,Kassin,Socl
207,Socl_Kassin_10_Transgender.docx,0.066537941,Kassin,Socl
208,Socl_Myers_10_Transgender.docx,0.026105874,Myers,Socl
209,Socl_Myers_11_Transgender.docx,0.05224679,Myers,Socl
210,Socl_Myers_12_Transgender.docx,0.013468013,Myers,Socl
211,Socl_Rogers_02_Transgender.docx,0.02962963,Rogers,Socl
212,Socl_Rogers_03_Transgender_v2.docx,0.072041166,Rogers,Socl
213,Socl_Rogers_04_Transgender.docx,0.033632982,Rogers,Socl
214,Socl_Zastrow_08_Transgender.docx,0.064964611,Zastrow,Socl
215,Socl_Zastrow_09_Transgender.docx,0.063928351,Zastrow,Socl
216,Socl_Zastrow_10_Transgender.docx,0.050761351,Zastrow,Socl
217,Spcl_Friend_02_Transgender.docx,-0.114130435,Friend,Spcl
218,Spcl_Friend_03_Transgender.docx,0.022151899,Friend,Spcl
219,Spcl_Friend_04_Transgender.docx,0.066037736,Friend,Spcl
220,Spcl_Friend_05_Transgender.docx,0.015695067,Friend,Spcl
221,Spcl_Gargiulo_06_Transgender.docx,-0.030442804,Gargiulo,Spcl
222,Spcl_Hardman_10_Transgender.docx,0.012605042,Hardman,Spcl
223,Spcl_Hardman_12_Transgender.docx,-0.009408602,Hardman,Spcl
224,Spcl_Heward_10_Transgender.docx,0.076923077,Heward,Spcl
225,Spcl_Heward_11_Transgender.docx,0.057034221,Heward,Spcl
226,Spcl_Kuder_05_Transgender.docx,-0.083333333,Kuder,Spcl
227,Spcl_Lewis_09_Transgender.docx,-0.002673797,Lewis,Spcl
228,Spcl_Overton_08_Transgender.docx,-0.00140647,Overton,Spcl
229,Spcl_Smith_04_Transgender.docx,0.036585366,Smith,Spcl
230,Spcl_Smith_05_Transgender.docx,0.041666667,Smith,Spcl
231,Spcl_Smith_07_Transgender.docx,0.06408776,Smith,Spcl
232,Spcl_Turnbull_04_Transgender.docx,0.173913043,Turnbull,Spcl
233,Spcl_Turnbull_05_Transgender.docx,0.064102564,Turnbull,Spcl
234,Spcl_Turnbull_06_Transgender.docx,0.002164502,Turnbull,Spcl
235,Spcl_Turnbull_07_Transgender.docx,-0.032894737,Turnbull,Spcl
236,Spcl_Turnbull_08_Transgender.docx,0.084432718,Turnbull,Spcl
237,Spcl_Vaughn_07_Transgender.docx,0.085903084,Vaughn,Spcl
